Rattlechains~4~Shadows over Innistrad
Grim Monolith~66~Urza's Legacy
Dream Halls~7~Stronghold
Volrath's Stronghold~35~Stronghold
Life from the Loam~12~Ravnica
Aluren~13~Tempest
Back to Basics~19~Urza's Saga
Anger of the Gods~2~Theros
Winding Canyons~7~Weatherlight
Mox Diamond~75~Stronghold
Undiscovered Paradise~5.5~Visions
Oracle of Mul Daya~20~Zendikar
River of Tears~7~Future Sight
Austere Command~11~Lorwyn
Dust Bowl~11~Mercadian Masques
Nimbus Maze~27~Future Sight
Wheel of Fortune~19~Revised Edition
